trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
330,False,"{'a': 0.15, 'e': 1.0}",25,0,-58.54998033829401,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
331,False,"{'a': 0.15, 'e': 1.0}",20,4,-63.449087223382186,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
332,False,"{'a': 0.15, 'e': 1.0}",20,0,-93.37759135243834,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
333,False,"{'a': 0.15, 'e': 1.0}",25,0,-126.65391905940469,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
334,False,"{'a': 0.15, 'e': 1.0}",20,0,-147.50716466534087,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
335,False,"{'a': 0.15, 'e': 1.0}",25,9,-140.10158111996876,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 3}",1
336,False,"{'a': 0.15, 'e': 1.0}",20,0,-103.48312961927385,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
337,False,"{'a': 0.15, 'e': 1.0}",30,0,-169.86676294605053,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
338,False,"{'a': 0.15, 'e': 1.0}",20,0,-38.794235919045214,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
339,False,"{'a': 0.15, 'e': 1.0}",20,0,-96.20623191414839,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
340,False,"{'a': 0.15, 'e': 1.0}",30,0,-172.5985123993478,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
341,False,"{'a': 0.15, 'e': 1.0}",20,10,-8.312931272687573,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
342,False,"{'a': 0.15, 'e': 1.0}",20,0,-188.89087730304814,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
343,False,"{'a': 0.15, 'e': 1.0}",25,0,-189.4931492664714,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
344,False,"{'a': 0.15, 'e': 1.0}",25,0,-180.16753664792455,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
345,False,"{'a': 0.15, 'e': 1.0}",30,0,-145.92622419509655,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
